2007,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,428,33
2007,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,497,31
2007,HISPANIC,FEMALE,DISEASES OF HEART,1418,34
2007,HISPANIC,MALE,DISEASES OF HEART,1327,29
2007,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2722,36
2007,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2121,32
2007,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,7050,49
2007,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5632,43
2007,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,428,33
2007,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,497,31
2007,HISPANIC,FEMALE,DISEASES OF HEART,1418,34
2007,HISPANIC,MALE,DISEASES OF HEART,1327,29
2007,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2722,36
2007,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2121,32
2007,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,7050,49
2007,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5632,43
2007,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,428,33
2007,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,497,31
2007,HISPANIC,FEMALE,DISEASES OF HEART,1418,34
2007,HISPANIC,MALE,DISEASES OF HEART,1327,29
2007,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2722,36
2007,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2121,32
2007,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,7050,49
2007,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5632,43
2008,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,456,34
2008,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,546,33
2008,HISPANIC,FEMALE,DISEASES OF HEART,1445,32
2008,HISPANIC,MALE,DISEASES OF HEART,1330,27
2008,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2725,36
2008,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2077,32
2008,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,6836,48
2008,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5503,43
2008,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,456,34
2008,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,546,33
2008,HISPANIC,FEMALE,DISEASES OF HEART,1445,32
2008,HISPANIC,MALE,DISEASES OF HEART,1330,27
2008,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2725,36
2008,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2077,32
2008,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,6836,48
2008,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5503,43
2008,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,456,34
2008,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,546,33
2008,HISPANIC,FEMALE,DISEASES OF HEART,1445,32
2008,HISPANIC,MALE,DISEASES OF HEART,1330,27
2008,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2725,36
2008,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2077,32
2008,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,6836,48
2008,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5503,43
2009,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,449,33
2009,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,555,34
2009,HISPANIC,FEMALE,DISEASES OF HEART,1349,31
2009,HISPANIC,MALE,DISEASES OF HEART,1382,28
2009,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2535,35
2009,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2068,32
2009,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,6297,46
2009,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5168,41
2009,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,449,33
2009,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,555,34
2009,HISPANIC,FEMALE,DISEASES OF HEART,1349,31
2009,HISPANIC,MALE,DISEASES OF HEART,1382,28
2009,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2535,35
2009,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2068,32
2009,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,6297,46
2009,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5168,41
2009,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,449,33
2009,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,555,34
2009,HISPANIC,FEMALE,DISEASES OF HEART,1349,31
2009,HISPANIC,MALE,DISEASES OF HEART,1382,28
2009,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2535,35
2009,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2068,32
2009,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,6297,46
2009,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5168,41
2010,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,5351,40
2010,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,4495,37
2010,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,394,29
2010,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,479,27
2010,HISPANIC,FEMALE,DISEASES OF HEART,1316,30
2010,HISPANIC,MALE,DISEASES OF HEART,1355,28
2010,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2282,32
2010,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2015,31
2010,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,5351,40
